State,Credit Card Fraud Victim Count,Credit Card Fraud Victim Loss Amount,Credit Card Fraud per Victim,Credit Card Fraud per Capita
Alabama,622,"$1,577,664","$2,536",$0.31
Alaska,58,"$252,476","$4,353",$0.34
Arizona,390,"$3,100,451","$7,950",$0.42
Arkansas,93,"$294,796","$3,170",$0.10
California,2455,"$38,545,383","$15,701",$0.99
Colorado,292,"$1,935,416","$6,628",$0.33
Connecticut,149,"$2,853,740","$19,153",$0.79
Delaware,53,"$1,521,628","$28,710",$1.49
Florida,1539,"$16,784,459","$10,906",$0.75
Georgia,359,"$3,312,955","$9,228",$0.30
Hawaii,48,"$540,009","$11,250",$0.37
Idaho,64,"$618,403","$9,663",$0.32
Illinois,428,"$2,953,531","$6,901",$0.23
Indiana,229,"$1,164,687","$5,086",$0.17
Iowa,77,"$846,597","$10,995",$0.26
Kansas,89,"$622,723","$6,997",$0.21
Kentucky,200,"$983,372","$4,917",$0.22
Louisiana,147,"$2,182,039","$14,844",$0.48
Maine,45,"$205,618","$4,569",$0.15
Maryland,306,"$2,527,660","$8,260",$0.41
Massachusetts,273,"$3,815,762","$13,977",$0.55
Michigan,335,"$2,720,612","$8,121",$0.27
Minnesota,162,"$1,494,686","$9,226",$0.26
Mississippi,80,"$161,802","$2,023",$0.06
Missouri,225,"$884,503","$3,931",$0.14
Montana,45,"$326,093","$7,247",$0.29
Nebraska,58,"$325,391","$5,610",$0.17
Nevada,519,"$2,703,087","$5,208",$0.85
New Hampshire,38,"$159,691","$4,202",$0.11
New Jersey,400,"$6,553,622","$16,384",$0.71
New Mexico,79,"$343,474","$4,348",$0.16
New York,1028,"$14,979,202","$14,571",$0.76
North Carolina,342,"$1,511,481","$4,420",$0.14
North Dakota,12,"$13,643","$1,137",$0.02
Ohio,716,"$2,464,446","$3,442",$0.21
Oklahoma,146,"$604,722","$4,142",$0.15
Oregon,205,"$1,804,904","$8,804",$0.43
Pennsylvania,571,"$9,261,284","$16,219",$0.71
Rhode Island,42,"$181,981","$4,333",$0.17
South Carolina,189,"$519,358","$2,748",$0.10
South Dakota,27,"$33,919","$1,256",$0.04
Tennessee,271,"$1,959,585","$7,231",$0.28
Texas,1104,"$12,357,119","$11,193",$0.41
Utah,188,"$3,499,300","$18,613",$1.04
Vermont,21,"$63,134","$3,006",$0.10
Virginia,398,"$4,577,719","$11,502",$0.53
Washington,406,"$6,723,596","$16,561",$0.86
West Virginia,60,"$544,754","$9,079",$0.31
Wisconsin,177,"$796,763","$4,501",$0.14
Wyoming,29,"$184,048","$6,346",$0.32
